,Наименование,Цена,Производитель
0,Нозефрин спрей назальный 50мкг/доза 180доз,863 руб,Вертекс (Россия)
1,Эспа-Бастин таблетки п/о 20мг №10,608 руб,Эдвансд Фарма (Россия)
2,Эспа-Бастин таблетки п/о 10мг №10,469 руб,Эдвансд Фарма (Россия)
3,Нозефрин спрей назальный 50мкг/доза 60доз,438 руб,Вертекс (Россия)
4,Левоцетиризин-Вертекс таблетки п/о 5мг №30,398 руб,Вертекс (Россия)
5,Аллергостин таблетки п/о 20мг №10,362 руб,Полисан (Россия)
6,"Диметинден - Акрихин гель 0,1% 50г",469 руб,Акрихин (Россия) Польфарма (Польша)
7,"Дезлоратадин сироп 0,5мг/мл флакон 60мл",414 руб,ОЗОН (Россия)
8,"Синефистил капли 0,1% 20мл",383 руб,ОЗОН (Россия)
9,Эльцет таблетки п/о 5 мг №14,388 руб,АЛИУМ (Россия)
10,Азеластин-Ксантис 140мкг/доза спрей назальный 10мл,422 руб,SAG Manufacturing (Испания)
11,Аллергостин таблетки п/о 10мг №10,231 руб,Полисан (Россия)
12,Дезлоратадин таблетки п/о 5мг №10,257 руб,Биоком (Россия)
13,Лоратадин-Тева таблетки 10мг №30,285.10 руб,Тева Фармасьютикал (Венгрия)
14,Цетиризин капли 10мг/мл 20мл,204.50 руб,ОЗОН (Россия)
15,Диазолин таблетки 100мг №10,117 руб,ОЗОН (Россия)
16,Лоратадин-Тева таблетки 10мг №10,145.90 руб,Тева Фармасьютикал (Венгрия)
17,Цетиризин-Вертекс таблетки п/о 10мг №30,152.60 руб,Вертекс (Россия)
18,Хлоропирамин раствор 20мг/мл ампулы 1мл №5,125.60 руб,ОЗОН (Россия)
19,Цетиризин-Вертекс таблетки п/о 10мг №20,114.40 руб,Вертекс (Россия)
20,Лоратадин-Вертекс таблетки 10мг №30,103.10 руб,Вертекс (Россия)
21,Хлоропирамин таблетки 25мг №20,82.90 руб,ОЗОН (Россия)
22,Нозефрин спрей назальный 50мкг/доза 120доз,579 руб,Вертекс (Россия)
23,Фенкарол таблетки 25мг №20,1113 руб,Олайнфарм (Латвия)
24,Никсар таблетки 20мг №30,1624 руб,Берлин-Хеми/Менарини (Испания)
25,Монтрал МЛ таблетки п/о 5мг+10мг №30,1073 руб,Микро Лабс Лимитед (Индия)
26,Аллегра таблетки 180мг №10,1060 руб,Санофи (Франция)
27,Момат Рино Адванс 140мкг+50мкг/доза спрей назальный 150доз,971 руб,Гленмарк Фарм (Индия)
28,Фенкарол таблетки 10мг №20,769 руб,Олайнфарм (Латвия)
29,Кестин таблетки п/о 10мг №10,677 руб,Индустриас Фармасеутикас Альмиралль С.А. (Испания)
30,"Дезал раствор 0,5мг/мл 100мл",651 руб,Балканфарма (Болгария)
